title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Superfreak (Freak),Wink,724,132.156814575,B,minor,0.93572896719,326.87020874,0.95,0.156,0.0324,0.711,0.0615,0.809,-7.974,0.413,-7.974,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,aggressive,not_acoustic
We Got Love,Tom Jones,353,119.970733643,C,major,0.903912425041,178.189926147,0.713,0.0291,0.212,0,0.142,0.751,-4.574,0.906,-4.574,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Death Star (Tom Piper & Rob Pix remix),Moby | Darth & Vader,524,128.014678955,E,major,0.921103417873,248.006530762,0.992,0.12,0.0231,0.894,0.0585,0.685,-3.126,0.186,-3.126,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Wanna Be Startin’ Somethin’ (instrumental),Michael Jackson,523,122.32975769,A,major,0.952827632427,257.462860107,0.859,0.0355,0.45,0.673,0.135,0.695,-9.584,0.972,-9.584,bright,tonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Hot in Herre,Tiga | Jake Shears,358,122.071151733,F,minor,0.950227618217,177.084075928,0.666,0.103,0.00242,0.108,0.0859,0.851,-5.295,0.651,-5.295,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Feel My M.F. Bass,Paul Johnson,609,134.018783569,C,minor,0.94133746624,273.972259521,0.857,0.0632,4.08e-05,0.801,0.0759,0.872,-7.027,0.511,-7.027,dark,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,aggressive,not_acoustic
The Christmas Song,Ne‐Yo | Tasha Cobbs,324,164.781799316,F,major,0.886368453503,156.734695435,0.458,0.0333,0.805,0,0.0822,0.377,-7.606,0.296,-7.606,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Yeah 3X,Chris Brown,529,129.938674927,D,major,0.931461691856,240.980270386,0.882,0.0445,0.000369,1.16e-06,0.0934,0.705,-3.201,0.7,-3.201,bright,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Expand Your Horizons,DJ Sneak,1067,126.28263855,G#,major,0.901056289673,509.352935791,0.73,0.051,0.000552,0.821,0.0776,0.787,-7.275,0.763,-7.275,bright,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Fire,Jason Derulo | Pitbull,460,128.038314819,E,major,0.885291039944,216.533340454,0.68,0.0629,0.00906,0,0.109,0.775,-5.508,0.656,-5.508,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Faxing Berlin (piano acoustic version),deadmau5,206,127.872375488,A#,major,0.639358580112,99.4220428467,0.481,0.102,0.144,0.767,0.316,0.878,-11.558,0.204,-11.558,dark,atonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Gentlemen Showdown,F-777,430,127.978088379,A,minor,0.934722602367,202.5,0.961,0.327,0.144,0.9,0.172,0.541,-6.818,0.303,-6.818,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Tuesdays,Chicane | City Lies | Manu Zain,561,99.8074645996,D,major,0.232715979218,330.266113281,0.485,0.0273,0.0451,0.0494,0.137,0.495,-11.83,0.197,-11.83,dark,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
White on White,Nelson Riddle,243,121.164115906,A#,major,0.776107132435,121.244033813,0.305,0.0292,0.519,0.0591,0.155,0.348,-11.181,0.524,-11.181,bright,tonal,instrumental,sad,relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
My Mind,Étienne de Crécy,247,128.382827759,G,major,0.977061569691,116.087982178,0.681,0.06,0.00345,0.397,0.284,0.784,-6.596,0.228,-6.596,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Prayer in C (Robin Schulz remix),Robin Schulz | Lilly Wood & The Prick,675,123.926818848,F,major,0.947256863117,331.046905518,0.622,0.0366,0.00261,0.0122,0.0641,0.783,-6.384,0.878,-6.384,bright,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
How Deep Is Your Love (extended mix),Calvin Harris | Disciples,722,122.161842346,F,major,0.903793156147,354.587554932,0.802,0.0532,0.00163,0.087,0.375,0.789,-4.467,0.32,-4.467,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Troublemaker,Taio Cruz,466,124.923301697,E,minor,0.744212687016,218.106674194,0.714,0.0712,0.141,0,0.214,0.688,-4.48,0.449,-4.48,dark,tonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Broad Daylight,M.O.P. | Busta Rhymes,318,80.8268280029,D,minor,0.917970776558,233.377960205,0.957,0.463,0.599,0,0.129,0.534,-2.091,0.728,-2.091,bright,atonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Exit / Delete,高木正勝,361,103.90499115,D,major,0.35761475563,208.248168945,0.264,0.0511,0.868,0.00172,0.256,0.771,-12.614,0.203,-12.614,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Scared to Be Lonely (Brooks remix),Martin Garrix | Dua Lipa,810,137.905700684,F#,major,0.85417932272,362.370605469,0.796,0.0597,0.0126,0,0.106,0.604,-2.416,0.225,-2.416,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Bad Girl,Usher,383,87.9379119873,A,major,0.924543201923,261.799194336,0.829,0.268,0.245,0,0.207,0.777,-6.905,0.835,-6.905,bright,tonal,voice,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Must Be the Music (Joey Negro club mix),Joey Negro,1069,129.017349243,C#,minor,0.691952526569,498.128967285,0.909,0.0488,0.000235,0.493,0.0525,0.666,-9.794,0.509,-9.794,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
"Right Here, Right Now (edit)",Fatboy Slim,816,124.631332397,A,minor,0.765351295471,387.970611572,0.946,0.069,0.0192,0.604,0.561,0.609,-5.101,0.0872,-5.101,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Psyche-Delia,Garnier,896,114.948364258,A,minor,0.932958543301,478.340393066,0.712,0.0988,0.0161,0.914,0.129,0.676,-13.413,0.772,-13.413,dark,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Giorgio’s Theme,Giorgio Moroder,965,128.060241699,E,minor,0.841346502304,459.833465576,0.513,0.0287,0.357,0.903,0.0869,0.436,-11.488,0.0381,-11.488,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Eye for an Eye,Mobb Deep | Ghostface Killah | Raekwon | Nas,577,84.9977111816,F,major,0.964060664177,407.902038574,0.548,0.349,0.00289,0,0.0453,0.644,-4.936,0.262,-4.936,bright,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Contra la pared (Dom Da Bomb remix),Sean Paul | J Balvin,338,96.0221862793,D,minor,0.972862780094,210.651428223,0.793,0.083,0.0276,0,0.178,0.688,-3.798,0.607,-3.798,bright,tonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Naked,Dev | Enrique Iglesias,495,125.106201172,C,major,0.826362609863,238.994293213,0.527,0.0449,0.0291,0.000536,0.31,0.9,-5.445,0.702,-5.445,bright,atonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Do You Think About Me (edited),50 Cent,386,93.7890090942,A#,minor,0.908718585968,242.860412598,0.834,0.263,0.00531,0.00012,0.18,0.573,-4.036,0.257,-4.036,dark,atonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Careless Whisper,George Michael,737,152.438461304,D,minor,0.64893579483,291.056335449,0.629,0.0363,0.128,0,0.271,0.574,-8.815,0.786,-8.815,bright,atonal,voice,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Dear Darlin’,Olly Murs,422,123.979896545,D,major,0.873365223408,206.419586182,0.817,0.0465,0.00604,6.3e-06,0.114,0.512,-4.735,0.332,-4.735,bright,tonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Wake Up Beside Me,Basshunter | Dulce María,370,139.803405762,F,major,0.965925216675,159.947753906,0.976,0.0981,0.221,0,0.378,0.631,-2.824,0.732,-2.824,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
At the Mambo Inn,George Benson | McCoy Tyner Trio,589,114.962310791,B,major,0.879203677177,307.069396973,0.514,0.047,0.549,0.00313,0.0767,0.592,-13.831,0.895,-13.831,dark,tonal,voice,sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Kandi,Arash | Lumidee,328,98.7017974854,A,minor,0.966388761997,200.045715332,0.839,0.0754,0.0713,2.58e-05,0.193,0.703,-3.283,0.81,-3.283,dark,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Natural Disaster,Laidback Luke | Example,378,128.028701782,G#,minor,0.928232610226,176.912841797,0.882,0.0336,0.00206,0.00038,0.116,0.668,-4.902,0.687,-4.902,bright,tonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Snus (Green & Falkner remix),Avicii | Sebastien Drums,758,128.163772583,G#,minor,0.899455189705,445.936340332,0.762,0.0797,0.00155,0.931,0.209,0.39,-6.753,0.374,-6.753,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
She Bangs,Ricky Martin,578,143.858596802,F#,minor,0.939879000187,241.606536865,0.95,0.0806,0.000915,6.51e-06,0.373,0.63,-4.012,0.858,-4.012,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Mundaya,Tim Deluxe,700,129.147949219,A#,major,0.876834452152,319.669128418,0.914,0.0531,0.0176,0.625,0.0536,0.604,-6.912,0.482,-6.912,bright,atonal,instrumental,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Pocket Damage,Ferry Corsten | Eon,1048,137.496398926,C,major,0.840490162373,457.404083252,0.932,0.0453,3.25e-05,0.887,0.0644,0.573,-9.823,0.673,-9.823,dark,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
She Ain't Worth It,Glenn Medeiros | Bobby Brown,372,102.408653259,A#,major,0.876546144485,218.932250977,0.881,0.064,0.0418,0,0.125,0.782,-7.763,0.909,-7.763,bright,atonal,voice,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Lord Knows,2Pac,410,90.7396697998,A#,minor,0.9542491436,271.673461914,0.681,0.225,0.000251,0,0.363,0.654,-7.508,0.625,-7.508,bright,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Good *Hearted People,Third World | Capleton,661,151.975418091,F#,minor,0.946731030941,261.359466553,0.68,0.225,0.229,0,0.245,0.676,-5.41,0.888,-5.41,dark,tonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
What's Yo Pleasure,Daz Dilly | Snoop Dogg,380,99.9421234131,C#,major,0.957202494144,228.963272095,0.836,0.338,0.0692,0,0.0883,0.671,-6.907,0.621,-6.907,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Love Dealer,Esmée Denters | Justin Timberlake,468,123.934532166,F#,minor,0.958706557751,227.578781128,0.813,0.0905,0.436,0,0.29,0.901,-3.021,0.911,-3.021,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Burn the Disco (clean radio edit),Felix da Housecat | will.i.am,301,127.904602051,D#,major,0.929799437523,140.626663208,0.883,0.108,0.162,0.000995,0.804,0.596,-6.053,0.375,-6.053,dark,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Down Low,R. Kelly,351,117.766456604,A#,minor,0.961421787739,179.356735229,0.417,0.0273,0.282,0.000183,0.0651,0.603,-9.408,0.172,-9.408,dark,tonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Wish You Were Mine,Philip George,392,123.039833069,F,major,0.932179391384,177.606536865,0.832,0.0293,0.0126,0.0901,0.102,0.654,-4.164,0.407,-4.164,bright,atonal,instrumental,not_sad,not_relaxed,party,not_happy,not_electronic,not_aggressive,not_acoustic
Push Push,Kat DeLuna | Akon,406,129.841430664,A,major,0.920871675014,188.368972778,0.756,0.0754,0.29,0,0.96,0.802,-5.04,0.683,-5.04,dark,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Wasteland,Gary Numan | Ade Fenton,494,99.6737442017,D,minor,0.00440976209939,243.199996948,0.164,0.0353,0.6,0.934,0.109,0.258,-18.182,0.132,-18.182,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
No Gal,Vybz Kartel,304,128.222076416,A,major,0.972439706326,153.364898682,0.77,0.274,0.692,0,0.0567,0.886,-5.547,0.846,-5.547,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Vault,Pendulum | Jay-Z,675,87.1717681885,B,minor,0.723591327667,428.538787842,0.977,0.172,0.0116,0.84,0.104,0.259,-4.71,0.383,-4.71,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Put ’em High (JJ’s radio edit),StoneBridge | Therese,656,128.197616577,A#,minor,0.95546412468,307.17388916,0.849,0.0405,0.0102,0.00498,0.337,0.687,-7.222,0.516,-7.222,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Until Artillery,Daedelus,290,154.35218811,G,major,0.139134287834,138.083267212,0.197,0.0554,0.979,0.00904,0.0862,0.246,-17.389,0.0357,-17.389,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Love and Glory,Billy Idol,457,101.998413086,D,major,0.920041143894,269.531433105,0.677,0.0262,0.00546,0.17,0.181,0.516,-6.899,0.056,-6.899,bright,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Don't Tell Me It's Over,Gym Class Heroes | Dre | Lil Wayne,464,106.598258972,A#,major,0.797826766968,251.350204468,0.833,0.0626,0.00186,0,0.0727,0.66,-4.687,0.439,-4.687,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Koladé Spirit,David Toop,660,111.691055298,F,minor,0.331152409315,351.160003662,0.465,0.277,0.143,0.736,0.0919,0.363,-16.498,0.149,-16.498,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Taw,竹村延和,1204,142.592483521,A#,major,0.323600500822,582.239990234,0.76,0.519,0.111,0.175,0.0582,0.693,-17.283,0.0352,-17.283,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,aggressive,not_acoustic
Mad Man,MJ Cole | Elephant Man,312,65.9992599487,D,minor,0.827555477619,283.663665771,0.685,0.0453,0.454,0.825,0.083,0.783,-7.047,0.0786,-7.047,bright,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Destination Calabria (club mix),Alex Gaudino | Crystal Waters,485,127.997612,D,minor,0.938742160797,229.679992676,0.889,0.0461,5.25e-05,0.5,0.0953,0.719,-3.273,0.652,-3.273,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Something to Believe In,Fashawn | Nas | Aloe Blacc,364,87.9905471802,E,major,0.949534535408,245.655517578,0.869,0.35,0.0163,0,0.176,0.29,-5.532,0.606,-5.532,bright,tonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Say It,Eric Saade,566,161.55619812,F,major,0.945225119591,214.15184021,0.922,0.0386,0.0043,0,0.0835,0.619,-4.754,0.707,-4.754,bright,atonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Fear,Junkie XL,568,161.516921997,A#,major,0.810027420521,216.398361206,0.779,0.0413,0.534,0.783,0.226,0.454,-13.009,0.0731,-13.009,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Like a Superstar,Trix & Flix | Shaggy,420,132.149490356,C,minor,0.92006868124,186.540405273,0.79,0.101,0.00789,0.0767,0.055,0.846,-5.089,0.376,-5.089,dark,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Do a Little Dance,Joe,341,102.945472717,A#,major,0.95051753521,199.575515747,0.35,0.278,0.193,1.58e-06,0.119,0.573,-12.568,0.511,-12.568,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Needin U,David Morales,512,129.902145386,F,major,0.89092373848,237.266662598,0.888,0.0418,0.0016,0.68,0.108,0.615,-11.786,0.35,-11.786,bright,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Love Is Forever,Billy Ocean,549,134.036437988,G,major,0.841859459877,250.56652832,0.425,0.0272,0.558,1.85e-06,0.117,0.552,-8.144,0.0793,-8.144,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
One Man Can Change the World,Big Sean | Kanye West | John Legend,659,155.840042114,F#,major,0.692676246166,254.667755127,0.58,0.144,0.777,0,0.11,0.67,-6.586,0.309,-6.586,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Lenta la neve,Sylvain Chauveau,395,96.2722091675,E,major,0.00170628854539,214.961639404,0.000702,0.0569,0.388,0.0075,0.074,0.332,-30.062,0.074,-30.062,dark,atonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Nie mehr Schule,Falco,548,118.501655579,A#,major,0.909235358238,277.68270874,0.729,0.0408,0.135,0,0.0619,0.837,-9.287,0.933,-9.287,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Thrill Me,Junior Jack,631,126.443771362,G,minor,0.910069167614,300.90447998,0.99,0.157,0.00192,0.95,0.0525,0.717,-6.385,0.165,-6.385,dark,atonal,instrumental,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Back in Time (R3hab remix),Pitbull,555,128.149902344,B,minor,0.955938696861,260.973327637,0.937,0.0462,2.36e-05,0.0185,0.0891,0.635,-5.056,0.214,-5.056,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Guns Out / Guns Out (Rinse mix),Bounty Killer,480,123.974136353,C,major,0.928412020206,235,0.72,0.16,0.295,1.61e-06,0.118,0.962,-11.987,0.838,-11.987,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
See You Again,Wiz Khalifa | Charlie Puth,606,161.846755981,A#,major,0.756033599377,229.564086914,0.481,0.0815,0.369,1.03e-06,0.0649,0.689,-7.503,0.283,-7.503,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
As Long as You Love Me (Ferry Corsten remix),Justin Bieber,743,129.956283569,A#,major,0.954255282879,343.614685059,0.698,0.0686,3.54e-05,1.3e-06,0.849,0.422,-5.437,0.266,-5.437,bright,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Banned From T.V.,Noreaga | Big Pun | Jadakiss | Styles P | Nature | Cam’ron,399,92.2983474731,C#,major,0.952419102192,259.186950684,0.986,0.405,0.00231,0.000185,0.0877,0.603,-3.54,0.542,-3.54,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Bac N da Day,Frankie Knuckles,693,126.479148865,A,major,0.922044217587,329.560821533,0.95,0.0486,0.00052,0.399,0.0755,0.711,-5.916,0.972,-5.916,bright,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Freaking Out,Flo Rida,379,128.142379761,A,minor,0.971337676048,178.546936035,0.566,0.0721,0.000387,0.00117,0.32,0.843,-10.485,0.336,-10.485,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Are You That Somebody,Aaliyah | Timbaland,575,138.136474609,D,minor,0.806134581566,250.357543945,0.663,0.159,0.124,0.0293,0.0737,0.848,-7.078,0.833,-7.078,bright,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Rendezvous,Craig David,742,136.842498779,D,minor,0.938631296158,326.321624756,0.551,0.0501,0.617,9.06e-06,0.114,0.665,-8.962,0.848,-8.962,bright,atonal,instrumental,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Future,Brothers of the Stone | KRS‐One | Beast 1333,387,88.9921188354,B,minor,0.954422950745,261.381225586,0.926,0.357,0.0586,0,0.325,0.481,-6.252,0.787,-6.252,bright,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Broken Parts,Måns Zelmerlöw,432,113.707550049,F#,major,0.269980818033,225.567352295,0.55,0.0278,0.102,0,0.0867,0.635,-7.115,0.199,-7.115,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Pony,Ginuwine,599,142.062072754,F#,major,0.877086699009,253.596740723,0.605,0.086,0.00186,0.0381,0.115,0.749,-9.359,0.966,-9.359,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Came Here For Love,Sigala | Ella Eyre,419,125.023681641,F#,major,0.78189009428,202.151992798,0.868,0.0431,0.0313,0,0.122,0.708,-3.287,0.72,-3.287,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Pepis,Funk D’Void,839,119.995948792,A,minor,0.918520569801,420.527618408,0.565,0.0626,9.89e-05,0.403,0.175,0.747,-11.229,0.281,-11.229,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Bog’s Basil & Curry Powder Potatos Recipe,Bogdan Raczynski,449,82.4286117554,C,major,0.656481087208,305.345306396,0.821,0.0683,0.0485,0.901,0.48,0.582,-8.962,0.433,-8.962,bright,tonal,voice,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Can't You Stop That Thing?,Ron Geesin,331,123.862785339,G#,minor,0.62133705616,160.574691772,0.535,0.043,0.589,0.766,0.131,0.535,-13.693,0.828,-13.693,dark,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Feet on the Ground,Nicky Romero | Anouk,374,126.104171753,D,minor,0.902226507664,175.986938477,0.849,0.124,0.22,0,0.344,0.614,-6.087,0.361,-6.087,dark,tonal,voice,not_sad,not_relaxed,not_party,not_happy,electronic,aggressive,not_acoustic
Alive (Zedd remix),Empire of the Sun | Zedd,478,127.902992249,A#,major,0.685080349445,226.142044067,0.706,0.0485,0.00608,0.0242,0.7,0.646,-4.628,0.0628,-4.628,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Johanneslust,Roedelius,638,129.369415283,C,major,0.549167811871,296.777130127,0.317,0.0323,0.474,0.879,0.0752,0.44,-10.881,0.0554,-10.881,bright,tonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Ace of Diamonds,Diamond D | Masta Ace,259,84.9894790649,A,major,0.823125660419,182.987762451,0.947,0.0751,0.245,0,0.0682,0.436,-3.862,0.626,-3.862,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Caught Up,Ja Rule,440,99.0079574585,G#,minor,0.912708997726,266.109375,0.711,0.17,0.037,0,0.122,0.762,-4.219,0.471,-4.219,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Crazy,Seal,470,102.833251953,E,minor,0.844062805176,270,0.858,0.0473,0.208,0.0114,0.0655,0.633,-7.42,0.725,-7.42,bright,tonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
